,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.crossStreet,venue.location.neighborhood
0,e-0-5010afc9e4b090757f48c99a-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5010afc9e4b090757f48c99a,Café VeloDome (คาเฟ่ เวโลโดม),Phra Chan Rd.,13.755757,100.492017,"[{'label': 'display', 'lat': 13.755757, 'lng': 100.492017}]",185,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Phra Chan Rd.', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",0,[],,
1,e-0-4b0587f9f964a52001aa22e3-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b0587f9f964a52001aa22e3,Temple of the Emerald Buddha (วัดพระศรีรัตนศาสดาราม (วัดพระแก้ว)),Na Phra Lan Rd,13.751734643691861,100.49265146255493,"[{'label': 'display', 'lat': 13.751734643691861, 'lng': 100.49265146255493}]",302,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Na Phra Lan Rd (Maha Rat Rd)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '52e81612bcbc57f1066b7a3e', 'name': 'Buddhist Temple', 'pluralName': 'Buddhist Temples', 'shortName': 'Buddhist Temple', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_', 'suffix': '.png'}, 'primary': True}]",0,[],Maha Rat Rd,
2,e-0-4c029d3c302295213c6fde81-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c029d3c302295213c6fde81,Thokkathan-Mother Earth Squeezing Her Hair (พระแม่ธรณีบีบมวยผม อุทกทาน),Ratchadamnoen Nai Rd.,13.756601843910255,100.49476730464075,"[{'label': 'display', 'lat': 13.756601843910255, 'lng': 100.49476730464075}]",306,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Ratchadamnoen Nai Rd. (Rachini Rd.)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d131941735', 'name': 'Spiritual Center', 'pluralName': 'Spiritual Centers', 'shortName': 'Spiritual', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_', 'suffix': '.png'}, 'primary': True}]",0,[],Rachini Rd.,
3,e-0-4ceb69b1d27560fca3439b3a-3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4ceb69b1d27560fca3439b3a,The Grand Palace (พระบรมมหาราชวัง),Na Phra Lan Rd,13.751813689290364,100.49117576966269,,353,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Na Phra Lan Rd (Maha Rat Rd & Sanam Chai Rd)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '52e81612bcbc57f1066b7a14', 'name': 'Palace', 'pluralName': 'Palaces', 'shortName': 'Palace', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}, 'primary': True}]",0,[],Maha Rat Rd & Sanam Chai Rd,
4,e-0-4d9bdddd7ae5548198a34174-4,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4d9bdddd7ae5548198a34174,Prasat Phra Thep Bidon (ปราสาทพระเทพบิดร),Temple of the Emerald Buddha,13.751606,100.49272,"[{'label': 'display', 'lat': 13.751606, 'lng': 100.49272}]",315,10200,TH,พระบรมมหาราชวัง,กรุงเทพมหานคร,ประเทศไทย,"['Temple of the Emerald Buddha', 'พระบรมมหาราชวัง', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '52e81612bcbc57f1066b7a14', 'name': 'Palace', 'pluralName': 'Palaces', 'shortName': 'Palace', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}, 'primary': True}]",0,[],,
5,e-0-50dfa3fbe4b0eb1fe51ec7ef-5,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",50dfa3fbe4b0eb1fe51ec7ef,Siwamokhaphiman Hall (พระที่นั่งศิวโมกขพิมาน),Bangkok National Museum,13.757516,100.49214,"[{'label': 'display', 'lat': 13.757516, 'lng': 100.49214}]",357,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Bangkok National Museum', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d181941735', 'name': 'Museum', 'pluralName': 'Museums', 'shortName': 'Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_', 'suffix': '.png'}, 'primary': True}]",0,[],,Phra Borom Maha Ratchawang
6,e-0-4d20393a0901721e6ffc90a5-6,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4d20393a0901721e6ffc90a5,พระที่นั่งพุทไธสวรรย์,Bangkok National Museum,13.7578945,100.4921,"[{'label': 'display', 'lat': 13.7578945, 'lng': 100.4921}]",399,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Bangkok National Museum', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d190941735', 'name': 'History Museum', 'pluralName': 'History Museums', 'shortName': 'History Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_', 'suffix': '.png'}, 'primary': True}]",0,[],,Phra Borom Maha Ratchawang
7,e-0-4bb04db0f964a52057403ce3-7,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4bb04db0f964a52057403ce3,Wat Mahathat Yuwarajarangsarit Rajaworamahavihara (วัดมหาธาตุยุวราชรังสฤษฎิ์ราชวรมหาวิหาร),Maha Rat Rd,13.755066642937557,100.49048941692712,"[{'label': 'display', 'lat': 13.755066642937557, 'lng': 100.49048941692712}]",284,10200,TH,พระบรมมหาราชวัง,กรุงเทพมหานคร,ประเทศไทย,"['Maha Rat Rd', 'พระบรมมหาราชวัง', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '52e81612bcbc57f1066b7a3e', 'name': 'Buddhist Temple', 'pluralName': 'Buddhist Temples', 'shortName': 'Buddhist Temple', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_', 'suffix': '.png'}, 'primary': True}]",0,[],,
8,e-0-4bda4a3e3904a593c40d469e-8,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4bda4a3e3904a593c40d469e,Bangkok National Museum (พิพิธภัณฑสถานแห่งชาติ พระนคร),Na Phra That Rd,13.757215438529597,100.49243957896135,"[{'label': 'display', 'lat': 13.757215438529597, 'lng': 100.49243957896135}]",317,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Na Phra That Rd', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d190941735', 'name': 'History Museum', 'pluralName': 'History Museums', 'shortName': 'History Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_', 'suffix': '.png'}, 'primary': True}]",0,[],,
9,e-0-4f83c20ce4b0443298bee012-9,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4f83c20ce4b0443298bee012,Tha Prachan (ท่าพระจันทร์),,13.756201088298637,100.48968227270649,"[{'label': 'display', 'lat': 13.756201088298637, 'lng': 100.48968227270649}]",413,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4f2a25ac4b909258e854f55f', 'name': 'Neighborhood', 'pluralName': 'Neighborhoods', 'shortName': 'Neighborhood', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",0,[],,
10,e-0-4b8a06e7f964a520545c32e3-10,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b8a06e7f964a520545c32e3,R-Roy Garlic Bread (ขนมปังกระเทียมร้านอร่อย),Maha Rat Rd.,13.756171738063438,100.48970096348074,"[{'label': 'display', 'lat': 13.756171738063438, 'lng': 100.48970096348074}]",410,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Maha Rat Rd. (Phra Chan Rd.)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",0,[],Phra Chan Rd.,
11,e-0-530f18ed498e27ad09ba8272-11,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",530f18ed498e27ad09ba8272,Tha Maharaj (ท่ามหาราช),1/11 Trok Maha That,13.754878037656617,100.48877081229503,"[{'label': 'display', 'lat': 13.754878037656617, 'lng': 100.48877081229503}]",464,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['1/11 Trok Maha That', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d1fd941735', 'name': 'Shopping Mall', 'pluralName': 'Shopping Malls', 'shortName': 'Mall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mall_', 'suffix': '.png'}, 'primary': True}]",0,[],,
12,e-0-548edbfd498e2d4a137c8c1c-12,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",548edbfd498e2d4a137c8c1c,Starbucks (สตาร์บัคส์),Tha Maharaj,13.754670359216373,100.48869395790238,"[{'label': 'display', 'lat': 13.754670359216373, 'lng': 100.48869395790238}]",470,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Tha Maharaj (1st Fl, #C1-01)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],"1st Fl, #C1-01",Phra Borom Maha Ratchawang
13,e-0-55002446498e94585e4c98e5-13,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",55002446498e94585e4c98e5,After You (อาฟเตอร์ ยู),Tha Maharaj,13.754922376930377,100.48871767001823,"[{'label': 'display', 'lat': 13.754922376930377, 'lng': 100.48871767001823}]",470,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Tha Maharaj (1st Fl, #03)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d1d0941735', 'name': 'Dessert Shop', 'pluralName': 'Dessert Shops', 'shortName': 'Desserts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dessert_', 'suffix': '.png'}, 'primary': True}]",0,[],"1st Fl, #03",
14,e-0-55f025a4498e38c02aac273d-14,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",55f025a4498e38c02aac273d,Noa Noa Cafe (โนอะโนอะคาเฟ่),Tha Maharaj,13.754620186987838,100.48872712206395,"[{'label': 'display', 'lat': 13.754620186987838, 'lng': 100.48872712206395}]",466,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Tha Maharaj (2nd Fl.)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",0,[],2nd Fl.,
15,e-0-5493fcff498ecc2164b93e85-15,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5493fcff498ecc2164b93e85,Favour Café,Tha Maharaj,13.754418135459991,100.48901740724114,"[{'label': 'display', 'lat': 13.754418135459991, 'lng': 100.48901740724114}]",434,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Tha Maharaj (1st Fl,)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",0,[],"1st Fl,",
16,e-0-4b0587fcf964a520e8aa22e3-16,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b0587fcf964a520e8aa22e3,The National Theatre (โรงละครแห่งชาติ),2 Rachini Rd.,13.758806021120995,100.49286147385915,"[{'label': 'display', 'lat': 13.758806021120995, 'lng': 100.49286147385915}]",488,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['2 Rachini Rd. (near Somdet Phra Pinklao Bridge)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d137941735', 'name': 'Theater', 'pluralName': 'Theaters', 'shortName': 'Theater', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_theater_', 'suffix': '.png'}, 'primary': True}]",0,[],near Somdet Phra Pinklao Bridge,
17,e-0-4d144003401db60c6c04d7a4-17,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4d144003401db60c6c04d7a4,นิวย่งฮั้ว โภชนา,Phra Chan Rd.,13.756221,100.489486,"[{'label': 'display', 'lat': 13.756221, 'lng': 100.489486}]",433,10100,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Phra Chan Rd.', 'พระนคร', 'กรุงเทพมหานคร 10100', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d145941735', 'name': 'Chinese Restaurant', 'pluralName': 'Chinese Restaurants', 'shortName': 'Chinese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",0,[],,
18,e-0-4c8d867af87e224bb28c3e05-18,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c8d867af87e224bb28c3e05,Queen Sirikit Museum of Textiles (พิพิธภัณฑ์ผ้า หอรัษฎากรพิพัฒน์ ในสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ),Rasadakornpipat Building,13.751957,100.49092,"[{'label': 'display', 'lat': 13.751957, 'lng': 100.49092}]",357,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Rasadakornpipat Building (The Grand Palace)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d18f941735', 'name': 'Art Museum', 'pluralName': 'Art Museums', 'shortName': 'Art Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_art_', 'suffix': '.png'}, 'primary': True}]",0,[],The Grand Palace,Phra Borom Maha Ratchawang
19,e-0-4c3965ed2c8020a184b98c00-19,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c3965ed2c8020a184b98c00,อาคุงเต้าฮวยโบราณ,Tha Chang,13.752773,100.489456,"[{'label': 'display', 'lat': 13.752773, 'lng': 100.489456}]",428,10200,TH,พระบรมมหาราชวัง,กรุงเทพมหานคร,ประเทศไทย,"['Tha Chang (Na Phralan Rd.)', 'พระบรมมหาราชวัง', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d1d0941735', 'name': 'Dessert Shop', 'pluralName': 'Dessert Shops', 'shortName': 'Desserts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dessert_', 'suffix': '.png'}, 'primary': True}]",0,[],Na Phralan Rd.,
20,e-0-4d07ae37acb32d43d6d6a44b-20,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4d07ae37acb32d43d6d6a44b,Borom Phiman Mansion (พระที่นั่งบรมพิมาน),The Grand Palace,13.750489295912226,100.49297332763672,"[{'label': 'display', 'lat': 13.750489295912226, 'lng': 100.49297332763672}]",438,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['The Grand Palace', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4deefb944765f83613cdba6e', 'name': 'Historic Site', 'pluralName': 'Historic Sites', 'shortName': 'Historic Site', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/historicsite_', 'suffix': '.png'}, 'primary': True}]",0,[],,Phra Borom Maha Ratchawang
21,e-0-4bdd38fb4ffaa5934f126ff7-21,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4bdd38fb4ffaa5934f126ff7,Thammasat University Bookstore (ศูนย์หนังสือมหาวิทยาลัยธรรมศาสตร์),Thammasat University,13.75657007352386,100.48970639705658,"[{'label': 'display', 'lat': 13.75657007352386, 'lng': 100.48970639705658}]",432,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Thammasat University', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d1b1941735', 'name': 'College Bookstore', 'pluralName': 'College Bookstores', 'shortName': 'College Bookstore', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bookstore_', 'suffix': '.png'}, 'primary': True}]",0,[],,
22,e-0-4e71841945dd2c5c1a3e3665-22,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4e71841945dd2c5c1a3e3665,Thai Tham (ลูกชิ้น-มันสมองหมู ไทยทำ),Phraeng Phuthon Rd,13.75180880641601,100.4967156272417,"[{'label': 'display', 'lat': 13.75180880641601, 'lng': 100.4967156272417}]",492,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Phraeng Phuthon Rd', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d1dd931735', 'name': 'Soup Place', 'pluralName': 'Soup Places', 'shortName': 'Soup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/soup_', 'suffix': '.png'}, 'primary': True}]",0,[],,San Chaopho Suea
23,e-0-55f6c43e498e914271962625-23,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",55f6c43e498e914271962625,Bite,Tha Maharaj,13.755112626962513,100.4888537740267,"[{'label': 'display', 'lat': 13.755112626962513, 'lng': 100.4888537740267}]",459,,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Tha Maharaj (1st Fl,)', 'พระนคร', 'กรุงเทพมหานคร', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d14c941735', 'name': 'Wings Joint', 'pluralName': 'Wings Joints', 'shortName': 'Wings', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/wings_', 'suffix': '.png'}, 'primary': True}]",0,[],"1st Fl,",
24,e-0-4c74ed938d70b713d833d4ad-24,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c74ed938d70b713d833d4ad,ร้านน้อง ท่าพระจันทร์,Phra Chan Pier,13.756455805279812,100.48924032102019,"[{'label': 'display', 'lat': 13.756455805279812, 'lng': 100.48924032102019}]",468,10200,TH,พระบรมมหาราชวัง,กรุงเทพมหานคร,ประเทศไทย,"['Phra Chan Pier', 'พระบรมมหาราชวัง', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d10d951735', 'name': 'Record Shop', 'pluralName': 'Record Shops', 'shortName': 'Record Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/record_shop_', 'suffix': '.png'}, 'primary': True}]",0,[],,
25,e-0-4d2e7d96ad3a8cfad1e494bd-25,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4d2e7d96ad3a8cfad1e494bd,ศิริโภชนา,ตรงข้ามสำนักงานทนายคำนวน,13.754559748264908,100.49717140606322,"[{'label': 'display', 'lat': 13.754559748264908, 'lng': 100.49717140606322}]",446,,TH,,กรุงเทพมหานคร,ประเทศไทย,"['ตรงข้ามสำนักงานทนายคำนวน (ถนนบุญศิริ)', 'กรุงเทพมหานคร', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d1d1941735', 'name': 'Noodle House', 'pluralName': 'Noodle Houses', 'shortName': 'Noodles', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}, 'primary': True}]",0,[],ถนนบุญศิริ,San Chaopho Suea
